epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,324.938,2.82699,0.75043,0.93729,3.67144,0.000237188,0.000237188,0.000237188
2,645.656,0.87497,0.8494,0.96886,3.4459,0.000459507,0.000459507,0.000459507
3,968.769,0.56888,0.875,0.97782,3.38752,0.000666117,0.000666117,0.000666117
4,1293.26,0.4394,0.89804,0.98379,3.3513,0.000643314,0.000643314,0.000643314
5,1631.49,0.35269,0.90785,0.98549,3.33116,0.000619752,0.000619752,0.000619752
6,1960.11,0.29185,0.93046,0.98891,3.30304,0.00059619,0.00059619,0.00059619
7,2290.63,0.2479,0.9343,0.99019,3.29304,0.000572628,0.000572628,0.000572628
8,2626.12,0.2193,0.93771,0.99019,3.28426,0.000549066,0.000549066,0.000549066
9,2946.92,0.18493,0.93771,0.99275,3.27832,0.000525504,0.000525504,0.000525504
10,3328.43,0.17952,0.9407,0.99445,3.27679,0.000501942,0.000501942,0.000501942
11,3658.86,0.16102,0.95094,0.99445,3.26803,0.00047838,0.00047838,0.00047838
12,3962.45,0.14483,0.94838,0.99232,3.27298,0.000454818,0.000454818,0.000454818
13,4238.29,0.13036,0.94923,0.99488,3.2659,0.000431256,0.000431256,0.000431256
14,4510.43,0.12354,0.95179,0.99189,3.26469,0.000407694,0.000407694,0.000407694
15,4781.19,0.1098,0.95009,0.99403,3.26155,0.000384132,0.000384132,0.000384132
16,5069.31,0.09933,0.95648,0.99403,3.25633,0.00036057,0.00036057,0.00036057
17,5428.13,0.09533,0.95179,0.99317,3.25883,0.000337008,0.000337008,0.000337008
18,5865.25,0.09853,0.95179,0.99275,3.25643,0.000313446,0.000313446,0.000313446
19,6523.16,0.08047,0.95776,0.99275,3.2534,0.000289884,0.000289884,0.000289884
20,6835.78,0.08143,0.95606,0.99488,3.25406,0.000266322,0.000266322,0.000266322
21,7144.54,0.08019,0.95776,0.99403,3.25399,0.00024276,0.00024276,0.00024276
22,7414.11,0.08006,0.9616,0.99403,3.25175,0.000219198,0.000219198,0.000219198
23,7675.92,0.06094,0.96246,0.9936,3.24926,0.000195636,0.000195636,0.000195636
24,7946.89,0.06577,0.96288,0.9936,3.24906,0.000172074,0.000172074,0.000172074
25,8226.17,0.0583,0.96459,0.9936,3.24731,0.000148512,0.000148512,0.000148512
26,8497.31,0.05572,0.96587,0.99403,3.24571,0.00012495,0.00012495,0.00012495
27,8768.28,0.05542,0.95819,0.99403,3.24827,0.000101388,0.000101388,0.000101388
28,9030.34,0.05564,0.96416,0.99531,3.24611,7.7826e-05,7.7826e-05,7.7826e-05
29,9303.37,0.05207,0.96331,0.99445,3.246,5.4264e-05,5.4264e-05,5.4264e-05
30,9568.57,0.04503,0.9616,0.99488,3.2453,3.0702e-05,3.0702e-05,3.0702e-05
