epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,717.588,1.86563,0.75775,0.95009,0.80805,0.000332184,0.000332184,0.0671138
2,1350.82,0.68105,0.84725,0.97676,0.51166,0.000663713,0.000663713,0.034112
3,1936.58,0.51653,0.85585,0.97719,0.50211,0.000988046,0.000988046,0.00110299
4,2580.98,0.47829,0.88985,0.98537,0.35928,0.000975773,0.000975773,0.000975773
5,3245.8,0.34329,0.91265,0.98709,0.31707,0.000957205,0.000957205,0.000957205
6,3871.43,0.27067,0.92599,0.98838,0.29541,0.000933683,0.000933683,0.000933683
7,4625.15,0.2233,0.9191,0.98709,0.2794,0.000905463,0.000905463,0.000905463
8,5272.57,0.20336,0.93072,0.99139,0.24924,0.000872857,0.000872857,0.000872857
9,5980.84,0.15682,0.92427,0.99312,0.27348,0.00083622,0.00083622,0.00083622
10,6747.78,0.15327,0.94621,0.99096,0.22085,0.000795954,0.000795954,0.000795954
11,7384.09,0.13884,0.94535,0.99225,0.22282,0.0007525,0.0007525,0.0007525
12,8075.53,0.12346,0.94923,0.98967,0.21114,0.000706335,0.000706335,0.000706335
13,8920.21,0.10332,0.94793,0.99139,0.20828,0.000657963,0.000657963,0.000657963
14,9636.24,0.09116,0.95095,0.9901,0.18924,0.000607916,0.000607916,0.000607916
15,10292.6,0.07294,0.95611,0.99096,0.1896,0.000556742,0.000556742,0.000556742
16,10947.2,0.06348,0.95224,0.99312,0.1993,0.000505,0.000505,0.000505
17,11704.1,0.05264,0.95611,0.99312,0.1924,0.000453258,0.000453258,0.000453258
18,12553.9,0.06026,0.95611,0.99441,0.16922,0.000402084,0.000402084,0.000402084
19,13408.5,0.03919,0.95826,0.99269,0.17469,0.000352037,0.000352037,0.000352037
20,14223.6,0.03192,0.96084,0.9957,0.1706,0.000303665,0.000303665,0.000303665
21,15001.1,0.03246,0.95955,0.99441,0.17193,0.0002575,0.0002575,0.0002575
22,15785.4,0.02606,0.95869,0.99441,0.1625,0.000214046,0.000214046,0.000214046
23,16535.1,0.02535,0.96041,0.99398,0.1696,0.00017378,0.00017378,0.00017378
24,17122.9,0.02948,0.96041,0.99355,0.16187,0.000137143,0.000137143,0.000137143
25,17691.8,0.02429,0.9617,0.99441,0.17002,0.000104537,0.000104537,0.000104537
26,18268.3,0.01766,0.96256,0.99441,0.15193,7.63174e-05,7.63174e-05,7.63174e-05
27,18962.6,0.0183,0.96386,0.99398,0.16131,5.2795e-05,5.2795e-05,5.2795e-05
28,19867.2,0.01671,0.96515,0.99312,0.15,3.4227e-05,3.4227e-05,3.4227e-05
29,20875.8,0.01514,0.96386,0.99398,0.15251,2.08169e-05,2.08169e-05,2.08169e-05
30,21813.4,0.01687,0.96515,0.99312,0.14959,1.27117e-05,1.27117e-05,1.27117e-05
