epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.486999,0,1,1,0,0,0,0
2,6.18845,0,1,1,0,1.802e-05,1.802e-05,1.802e-05
3,6.5665,0,1,1,0,3.208e-05,3.208e-05,3.208e-05
4,7.08036,0,1,1,0,4.218e-05,4.218e-05,4.218e-05
5,7.38301,0,1,1,0,4.832e-05,4.832e-05,4.832e-05
6,7.68921,0,1,1,0,5.05e-05,5.05e-05,5.05e-05
7,7.95408,0,1,1,0,4.872e-05,4.872e-05,4.872e-05
8,8.20011,0,1,1,0,4.298e-05,4.298e-05,4.298e-05
9,8.47088,0,1,1,0,3.328e-05,3.328e-05,3.328e-05
10,8.7266,0,1,1,0,1.962e-05,1.962e-05,1.962e-05
