epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.849654,1.46806,8.78816,1.10234,0,0,0,0,0,4.71904,0,0,0,0
2,1.71272,0,7.9108,0,0,0,0,0,0,4.72203,0,1.50197e-05,1.50197e-05,1.50197e-05
3,2.38692,1.85385,9.39802,0.89044,0,0,0,0,0,4.72505,0,2.67387e-05,2.67387e-05,2.67387e-05
4,3.13447,1.04001,8.57301,1.01179,0,0,0,0,0,4.72845,0,3.5157e-05,3.5157e-05,3.5157e-05
5,3.7511,2.17393,9.59206,0.95136,0,0,0,0,0,4.73165,0,4.02747e-05,4.02747e-05,4.02747e-05
6,4.53436,4.83272,10.814,2.49714,0,0,0,0,1e-05,4.73491,0,4.20917e-05,4.20917e-05,4.20917e-05
7,5.33471,1.86799,9.48406,0.70465,0,0,0,0,1e-05,4.73801,0,4.06081e-05,4.06081e-05,4.06081e-05
8,6.45292,1.34403,8.62946,1.04948,0,0,0,0,2e-05,4.74136,0,3.58238e-05,3.58238e-05,3.58238e-05
9,7.3262,1.81904,9.42985,0.52714,0,0,0,0,1e-05,4.74452,0,2.77389e-05,2.77389e-05,2.77389e-05
10,8.10586,1.47304,8.89325,0.53639,0,0,0,0,2e-05,4.74776,0,1.63533e-05,1.63533e-05,1.63533e-05
